viticultural_practice,habitat,bareground,nb_species ,mean_height
Intensive,e9i1,40,3,12
Intensive,e9i1,98,2,3
Intensive,e9i1,99,1,11
Abandoned,P11,10,2,25
Abandoned,P11,8,3,28
Abandoned,P11,2,7,25
Abandoned,P12,40,2,35
Abandoned,P12,35,3,45
Abandoned,P12,30,5,55
Limited,e26i1,75,3,11
Limited,e26i1,92,6,9
Limited,e26i1,90,2,10
Limited,e20i1,60,4,6
Limited,e20i1,70,3,5
Limited,e20i1,90,4,5
Intensive,e16i1,40,9,18
Intensive,e16i1,70,10,10
Intensive,e16i1,45,15,9
Committed,e27i3,75,3,16
Committed,e27i3,40,3,7
Committed,e27i3,90,2,3
Committed,e2i1,95,1,7
Committed,e2i1,92,1,6
Committed,e2i1,7,2,8