viticultural_practice,habitat,quadrat,shannon
commited,e27i3,1,0.635004756940039
commited,e27i3,2,0.302159249560888
commited,e27i3,3,0.455886213027358
commited,e2i1,1,0
commited,e2i1,2,0
commited,e2i1,3,0.500402423538188
intensif,e16i1,1,1.25736416366945
intensif,e16i1,2,1.30494784451463
intensif,e16i1,3,0.387399070968788
intensif,e9i1,1,0.369049961331583
intensif,e9i1,2,0.693147180559945
intensif,e9i1,3,0
limited,e20i1,1,0
limited,e20i1,2,0
limited,e20i1,3,0.943348392329039
limited,e26i1,1,0.459448591825186
limited,e26i1,2,1.60204209739675
limited,e26i1,3,0.394397691447443
abandonned ,P11,1,0.801818552543337
abandonned ,P11,2,0.67299175082716
abandonned ,P11,3,1.09092681702345
abandonned ,P12,1,0.693147180559945
abandonned ,P12,2,0.790987350435576
abandonned ,P12,3,0.938112185117914