viticultural_practice,habitat,quadrat,shannon,salinity
commited,e27i3,1,0.635004756940039,253.055
commited,e27i3,2,0.302159249560888,253.055
commited,e27i3,3,0.455886213027358,253.055
commited,e2i1,1,0,947.63
commited,e2i1,2,0,947.63
commited,e2i1,3,0.500402423538188,947.63
intensif,e16i1,1,1.25736416366945,156.665
intensif,e16i1,2,1.30494784451463,156.665
intensif,e16i1,3,0.387399070968788,156.665
intensif,e9i1,1,0.369049961331583,366.455
intensif,e9i1,2,0.693147180559945,366.455
intensif,e9i1,3,0,366.455
limited,e20i1,1,0,760.52
limited,e20i1,2,0,760.52
limited,e20i1,3,0.943348392329039,760.52
limited,e26i1,1,0.459448591825186,91.46
limited,e26i1,2,1.60204209739675,91.46
limited,e26i1,3,0.394397691447443,91.46
abandonned ,P11,1,0.801818552543337,3567.17
abandonned ,P11,2,0.67299175082716,3567.17
abandonned ,P11,3,1.09092681702345,3567.17
abandonned ,P12,1,0.693147180559945,6061.97
abandonned ,P12,2,0.790987350435576,6061.97
abandonned ,P12,3,0.938112185117914,6061.97